ID	pop1	pop2
F15-025	0.0130	0.9870
F15-026	0.9723, 0.0277
F15-027	0.0185, 0.9815
F15-028	0.9943, 0.0057
F15-162	0.9660, 0.0340
F15-164	0.0070, 0.9930
F15-166	0.0125, 0.9875
F15-167	0.0050, 0.9950
F15-168	0.0045, 0.9955
F15-169	0.0049, 0.9951
F15-171	0.0040, 0.9960
F15-172	0.0090, 0.9910
F15-175	0.0040, 0.9960
F15-176	0.9895, 0.0105
F15-177	0.0040, 0.9960
F15-181	0.0040, 0.9960
F15-183	0.9760, 0.0240
F15-193	0.1562, 0.8438
F15-218	0.0734, 0.9266
F15-069	0.0212, 0.9788
F15-070	0.0201, 0.9799
F15-071	0.0140, 0.9860
F15-072	0.0268, 0.9732
F15-124	0.0289, 0.9711
