Ind_ID,,,X,Y,,,,,,,Lat,,Long
F14-002,1,,425,624,,,,,,,38.73528703,,-121.089978
F14-003,2,,445,626,,,,,,,38.73366396,,-121.068587
F14-005,3,,445,621,,,,,,,38.73916903,,-121.0685
F14-006,4,,441,611,,,,,,,38.75008604,,-121.072836
F14-008,5,,452,606,,,,,,,38.75447899,,-121.060322
F14-009,6,,453,601,,,,,,,38.76003804,,-121.05868
F14-013,7,,408,552,,,,,,,38.81236902,,-121.107649
F14-014,8,,409,552,,,,,,,38.81240096,,-121.106987
F14-015,9,,408,553,,,,,,,38.81166201,,-121.107598
F14-017,10,,408,554,,,,,,,38.81128801,,-121.107592
F14-018,11,,412,559,,,,,,,38.806138,,-121.103739
F14-019,12,,406,571,,,,,,,38.792576,,-121.108927
F14-020,13,,408,573,,,,,,,38.79061899,,-121.108657
F14-021,14,,368,603,,,,,,,38.75856802,,-121.150665
F14-022,15,,369,604,,,,,,,38.756926,,-121.149943
F14-029,16,,463,393,,,,,,,38.98401297,,-121.049259
F14-032,17,,136,641,,,,,,,38.71774203,,-121.401094
F14-039,18,,421,545,,,,,,,38.82115896,,-121.094024
F14-044,19,,409,546,,,,,,,38.81932198,,-121.107404
F14-045,20,,410,544,,,,,,,38.82155802,,-121.105249
F14-048,21,,420,544,,,,,,,38.82163002,,-121.095271
F14-049,22,,81,760,,,,,,,38.58881403,,-121.460156
F14-075,23,,304,712,,,,,,,38.640468,,-121.220179
F14-076,24,,330,718,,,,,,,38.63445802,,-121.192106
F14-077,25,,303,715,,,,,,,38.63845702,,-121.220639
F14-080,26,,304,715,,,,,,,38.63843397,,-121.220636
F14-082,27,,303,714,,,,,,,38.63910603,,-121.220529
F14-083,28,,300,716,,,,,,,38.63789602,,-121.222981
F14-084,29,,301,715,,,,,,,38.63838,,-121.223188
F14-087,30,,299,716,,,,,,,38.63718004,,-121.224329
F14-088,31,,307,711,,,,,,,38.64158004,,-121.216133
F14-089,32,,308,711,,,,,,,38.64158196,,-121.216136
F14-090,33,,308,710,,,,,,,38.64307403,,-121.216467
F14-092,34,,319,714,,,,,,,38.63975203,,-121.202902
F14-094,35,,330,709,,,,,,,38.64401003,,-121.19216
F14-107,36,,234,313,,,,,,,39.07035797,,-121.294636
F14-108,37,,50,744,,,,,,,38.60723804,,-121.491913
F14-109,38,,202,768,,,,,,,38.58134701,,-121.330503
F14-119,39,,314,521,,,,,,,38.847661,,-121.209471
F14-120,40,,78,761,,,,,,,38.588162,,-121.462218
F14-125,41,,57,667,,,,,,,38.689967,,-121.485251
F14-128,42,,466,396,,,,,,,38.98166997,,-121.04682
F14-130,43,,314,520,,,,,,,38.84799102,,-121.209357
F14-134,44,,57,662,,,,,,,38.69480202,,-121.485422
F14-135,45,,80,760,,,,,,,38.58889701,,-121.459901
F14-146,46,,465,395,,,,,,,38.98170702,,-121.046858
F14-150,47,,425,816,,,,,,,38.52888401,,-121.089074
F14-151,48,,425,815,,,,,,,38.53042502,,-121.089112
F14-152,49,,425,814,,,,,,,38.53128601,,-121.089377
F14-242,50,,548,420,,,,,,,38.955374,,-120.957274
F14-245,51,,533,429,,,,,,,38.94652197,,-120.972196
F14-246,52,,552,424,,,,,,,38.951273,,-120.952499
F16-062,53,,420,463,,,,,,,38.90921,,-121.0956
F16-085,54,,381,401,,,,,,,38.97664,,-121.13725
F16-097,55,,428,470,,,,,,,38.90111,,-121.08691
F16-103,56,,425,471,,,,,,,38.89996,,-121.08953
F16-110,57,,235,428,,,,,,,38.94725,,-121.29358
F16-142,58,,459,383,,,,,,,38.995444,,-121.05325
F16-190,59,,351,412,,,,,,,38.96424,,-121.16889
F16-205,60,,436,386,,,,,,,38.99187,,-121.0777
F16-207,61,,428,382,,,,,,,38.99653,,-121.08658
F16-226,62,,669,86,,,,,,,39.3161,,-120.828
F16-250,63,,713,84,,,,,,,39.3175,,-120.78008
F16-253,64,,736,76,,,,,,,39.32547,,-120.75457
F16-254b,65,,737,76,,,,,,,39.3258,,-120.75483
F16-289,66,,507,303,,,,,,,39.08134698,,-121.002309
F16-316b,67,,436,138,,,,,,,39.25991597,,-121.078423
