"Sample","Sp_fin","Sp_call1","Sp_call2"
"F16-001","Gf","Gf",""
"F16-002","Gf","Gf",""
"F16-003","Gf","Gf",""
"F16-004","Gf","Gf",""
"F16-005","Gf","Gf",""
"F16-007","Gf","Gf",""
"F16-008","Gf","Fail","Gf"
"F16-009","Gf","Fail","Gf"
"F16-010","Gf","Fail","Gf"
"F16-012b","Gf","Gf",""
"F16-013","Gf","Gf",""
"F16-014","Gf","Gf",""
"F16-015","Gf","Gf",""
"F16-017","Gf","Gf",""
"F16-018","Gf","Gf",""
"F16-019b","Gf","Gf",""
"F16-020","Gf","Gf",""
"F16-022","Gf","Fail","Gf"
"F16-023","Gf","Gf",""
"F16-024","Gf","Gf",""
"F16-026","Gf","Miss-Hu","Gf"
"F16-030b","Gf","","Gf"
"F16-032","Gf","Miss-Hu","Gf"
"F16-033","Gf","Gf",""
"F16-034","Gf","Gf",""
"F16-035b","Gf","","Gf"
"F16-036","Gf","Fail","Gf"
"F16-037","Gf","Gf",""
"F16-038","Gf","Gf",""
"F16-040","Gf","Gf",""
"F16-041","Gf","Fail","Gf"
"F16-042","Gf","Gf",""
"F16-043","Gf","Gf",""
"F16-044","Gf","Gf",""
"F16-045","Gf","Fail","Gf"
"F16-046","Gf","Gf",""
"F16-047b","Gf","","Gf"
"F16-048","Gf","Gf",""
"F16-049","Gf","Gf",""
"F16-050","Gf","Gf",""
"F16-063","Gf","Gf",""
"F16-064","Gf","Gf",""
"F16-066","Gf","Gf",""
"F16-067","Gf","Gf",""
"F16-068","Gf","Gf",""
"F16-070","Gf","Gf",""
"F16-071","Gf","Fail","Gf"
"F16-073","Gf","Gf",""
"F16-074","Gf","Gf",""
"F16-075","Gf","Fail","Gf"
"F16-076","Gf","Gf",""
"F16-077","Gf","Gf",""
"F16-078","Gf","Fail","Gf"
"F16-079b","Gf","Gf",""
"F16-080b","Gf","Gf",""
"F16-081","Gf","Gf",""
"F16-082","Gf","Gf",""
"F16-086","Gf","Gf",""
"F16-087","Gf","Gf",""
"F16-088","Gf","Gf",""
"F16-089","Gf","Gf",""
"F16-092","Gf","Fail","Gf"
"F16-093","Gf","Gf",""
"F16-094","Gf","Gf",""
"F16-095","Gf","Gf",""
"F16-096","Gf","Fail","Gf"
"F16-100","Gf","Gf",""
"F16-104","Gf","Fail","Gf"
"F16-105","Gf","Fail","Gf"
"F16-106","Gf","Gf","Gf"
"F16-107","Gf","Gf",""
"F16-115","Gf","Miss-Hu","Gf"
"F16-118b","Gf","","Gf"
"F16-119b","Gf","","Gf"
"F16-120","Gf","Gf",""
"F16-121","Gf","Gf",""
"F16-122","Gf","Gf",""
"F16-124","Gf","Gf",""
"F16-125b","Gf","","Gf"
"F16-126","Gf","Gf",""
"F16-127","Gf","Gf",""
"F16-128","Gf","Gf",""
"F16-129","Gf","Gf",""
"F16-132","Gf","Gf",""
"F16-133","Gf","Gf",""
"F16-134","Gf","Gf",""
"F16-135","Gf","Gf",""
"F16-136","Gf","Gf",""
"F16-138","Gf","Gf",""
"F16-139","Gf","Gf",""
"F16-140","Gf","Fail","Gf"
"F16-141","Gf","Gf",""
"F16-146","Gf","Gf",""
"F16-147","Gf","Gf",""
"F16-148","Gf","Gf",""
"F16-149","Gf","Gf",""
"F16-150","Gf","Gf",""
"F16-151","Gf","Gf","Gf"
"F16-152","Gf","Gf","Gf"
"F16-153","Gf","Gf","Gf"
"F16-154","Gf","Gf","Gf"
"F16-155","Gf","Gf",""
"F16-156","Gf","Gf",""
"F16-157","Gf","Gf",""
"F16-158","Gf","Gf",""
"F16-159","Gf","Gf",""
"F16-160","Gf","Gf",""
"F16-161","Gf","Gf",""
"F16-164","Gf","Gf",""
"F16-165","Gf","Gf",""
"F16-166","Gf","Gf",""
"F16-167","Gf","","Gf"
"F16-168","Gf","Gf",""
"F16-169","Gf","Gf",""
"F16-170","Gf","Gf",""
"F16-171","Gf","Gf",""
"F16-172","Gf","Gf",""
"F16-173","Gf","Gf",""
"F16-177","Gf","Gf",""
"F16-180","Gf","Gf",""
"F16-184","Gf","Gf",""
"F16-185","Gf","Gf",""
"F16-187","Gf","Gf",""
"F16-188","Gf","Gf",""
"F16-193","Gf","Gf",""
"F16-194","Gf","Gf",""
"F16-195","Gf","Gf",""
"F16-196","Gf","Gf",""
"F16-197","Gf","Gf",""
"F16-198","Gf","Gf",""
"F16-200","Gf","Gf",""
"F16-201","Gf","Gf",""
"F16-202","Gf","Gf",""
"F16-203","Gf","Gf",""
"F16-204","Gf","Gf",""
"F16-206","Gf","Gf",""
"F16-208","Gf","","Gf"
"F16-209","Gf","","Gf"
"F16-210","Gf","","Gf"
"F16-211","Gf","Gf",""
"F16-212","Gf","Gf",""
"F16-213b","Gf","Gf",""
"F16-215b","Gf","Gf",""
"F16-216b","Gf","Gf",""
"F16-217b","Gf","Gf",""
"F16-218b","Gf","","Gf"
"F16-219","Gf","Gf",""
"F16-220","Gf","Fail","Gf"
"F16-222","Gf","Gf",""
"F16-224","Gf","Gf",""
"F16-227","Gf","Gf",""
"F16-230","Gf","Gf",""
"F16-231","Gf","Gf","Gf"
"F16-232","Gf","","Gf"
"F16-233","Gf","Gf",""
"F16-234","Gf","Gf",""
"F16-235","Gf","Gf",""
"F16-236","Gf","Gf",""
"F16-237b","Gf","","Gf"
"F16-241","Gf","Gf",""
"F16-243","Gf","Gf",""
"F16-244","Gf","Gf",""
"F16-247","Gf","Gf",""
"F16-248","Gf","Fail","Gf"
"F16-249","Gf","","Gf"
"F16-252b","Gf","","Gf"
"F16-255","Gf","Gf","Gf"
"F16-258","Gf","Gf","Gf"
"F16-259","Gf","Gf","Gf"
"F16-260","Gf","Gf","Gf"
"F16-261","Gf","Gf",""
"F16-262","Gf","","Gf"
"F16-263","Gf","","Gf"
"F16-264","Gf","","Gf"
"F16-266","Gf","","Gf"
"F16-269b","Gf","","Gf"
"F16-271","Gf","Fail","Gf"
"F16-272b","Gf","","Gf"
"F16-273","Gf","","Gf"
"F16-275b","Gf","","Gf"
"F16-276b","Gf","","Gf"
"F16-277b","Gf","","Gf"
"F16-278b","Gf","","Gf"
"F16-279","Gf","","Gf"
"F16-280","Gf","","Gf"
"F16-281","Gf","","Gf"
"F16-282","Gf","","Gf"
"F16-283","Gf","","Gf"
"F16-284","Gf","","Gf"
"F16-285b","Gf","","Gf"
"F16-288","Gf","Gf",""
"F16-290","Gf","Gf",""
"F16-291","Gf","Gf",""
"F16-292","Gf","Gf",""
"F16-294","Gf","Gf",""
"F16-295","Gf","","Gf"
"F16-298","Gf","","Gf"
"F16-302","Gf","Gf",""
"F16-306","Gf","Fail","Gf"
"F16-307","Gf","Gf",""
"F16-308","Gf","Gf",""
"F16-311","Gf","Gf",""
"F16-312","Gf","Gf",""
"F16-313","Gf","Gf",""
"F16-317b","Gf","","Gf"
"F16-318b","Gf","","Gf"
"F16-320","Gf","","Gf"
"F16-322b","Gf","","Gf"
"F16-323","Gf","Gf",""
"F16-325b","Gf","","Gf"
"F16-326","Gf","","Gf"
